stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
518186,D72MK26M,Dg 72M entre Kr 26M y 26L,3.43156028,-76.49392667,0
518187,K26ID72A,Kr 26I entre Dg 72A y 71B,3.43364861,-76.4922125,0
518188,K27C72,Kr 27 entre Cl 72 y 71B,3.43068528,-76.49567222,0
518189,C70K27,Cl 70 entre Kr 27 y 26M,3.43117778,-76.49695639,0
518192,C70DK282,Cl 70 entre Dg 28EBis y Kr 28E2 PP2,3.42651389,-76.5009825,0
519007,C26K13,Cl 26 entre Kr 13 y 12,3.44689667,-76.51795833,0
519008,C26K11B,Cl 26 entre Kr 11B y 10,3.44952,-76.51779722,0
519015,C10K32A,Cl 10 entre Kr 32A y 33,3.42636,-76.53374833,0
519016,C10K33,Cl 10 entre Kr 33 y 32A,3.42600167,-76.533335,0
519017,C10K32,Cl 10 entre Kr 30 y 32,3.42825333,-76.532775,0
519018,C10K31,Cl 10 entre Kr 31 y 30,3.42848667,-76.53199333,0
519019,D23T11,Dg 23 entre Tr 11 y 10,3.43033167,-76.53024833,0
519020,D23T12,Dg 23 entre Tr 12A y 13,3.43020833,-76.52958639,0
519021,C13D231,Cl 13 entre Kr 23D y D23,3.43302472,-76.52818111,0
519022,C13D232,Cl 13 entre Dg 23 y K23D,3.43286917,-76.527915,0
519024,C13K22B,Cl 13 entre Kr 23 y 22B,3.43622694,-76.52812222,0
519025,C13K20,Cl 13 entre Kr 20 y 21,3.43820472,-76.52846583,0
519026,C13K21,Cl 13 entre Kr 21 y 20,3.43845167,-76.52822167,0
519027,C9K32A,Cl 9 entre Kr 32A y 32,3.42762806,-76.53689722,0
519028,C9K31,Cl 9 entre Kr 31 y 30,3.42956944,-76.53631556,0
519029,C9K27,Cl 9 entre Kr 28 y 27,3.43227611,-76.53550278,0
519030,C9K23D,Cl 9 entre Kr 23D y 23C,3.43488028,-76.53471667,0
519031,C9K19,Cl 9 entre Kr 19 y 17,3.438955,-76.53347667,0
519033,C21K1,Cl 21 entre Kr 1 y 2,3.45769,-76.525755,0
519034,K5C21,Kr 5 entre Cl 21 y 22,3.45518389,-76.52421972,0
519035,K5C24,Kr 5 entre Cl 24 y 25,3.456755,-76.520755,0
519038,A4NC5,Av 4N entre Cl 5 y 6 Oeste,3.45380278,-76.54614361,0
519039,A4NC6,Av 4N entre Cl 6 y 7 Oeste,3.45444972,-76.54863861,0
519040,K1C9OE,Kr 1 entre Cl 9 y 10 Oe,3.45201361,-76.55072389,0
519041,C7OEAV1,Cl 7 Oe con Av 1,3.45327,-76.54957278,0
519042,C5OEK1A,Cl 5 Oeste entre Kr 1A y 1B Oeste,3.4530925,-76.54669139,0
519043,K1C5OE,Kr 1 entre Kr 1C y Cl 5 Oeste,3.45056472,-76.54495556,0
519045,K8C25,Kr 8 entre Cl 25 y 24,3.452715,-76.519765,0
519046,K8C21,Kr 8 entre Cl 21 y 20,3.45166056,-76.52341833,0
519047,K8C16,Kr 8 entre Cl 16 y 15,3.450215,-76.52799333,0
519048,K5C15,Kr 5 entre Cl 15  y 16,3.45299639,-76.52896472,0
519049,K5C19,Kr 5 entre Cl 19 y 20,3.45454333,-76.5257,0
519050,C9K12,Cl 9 entre Kr 13 y 12,3.44472972,-76.5332325,0
519051,C10K10,Cl 10 entre Kr 10 y 12,3.44650806,-76.53263528,0
519052,C10K13,Cl 10 entre Kr 13 y 14,3.44368472,-76.53220611,0
519056,K23AC12A,Kr 23A entre Cl 12A y 13,3.43500889,-76.52857861,0
519059,C10K19,Cl 10 entre Kr 19 y 20,3.43899611,-76.53158083,0
519061,C15K19A,Cl 15 entre Kr 19A y 18A,3.43947444,-76.525925,0
519062,C10K22,Cl 10 entre Kr 22 y 23,3.43632667,-76.5312725,0
519064,C25K12,Cl 25 entre Kr 12 y 13A,3.44572333,-76.51861333,0
519067,C9K15,Cl 9 entre Kr 15 y 14A,3.44231083,-76.53318861,0
519068,C9K8,Cl 9 entre Kr 8 y 6,3.44949056,-76.53400056,0
519069,C5K5,Cl 5 entre Kr 5 y 6,3.44856333,-76.53725333,0
519070,K4C9,Kr 4 entre Cl 9 y 8,3.45110417,-76.5348625,0
519071,K4C5,Kr 4 entre Cl 5 y 4,3.44960139,-76.53802944,0
519072,K3C1OE,Kr 3 entre Cl 1 y 2 Oeste,3.44969611,-76.54140083,0
519073,K2C2OE,Kr 2 entre Cl 2 y 3 Oeste,3.45083889,-76.54239944,0
519074,K1C11OE,Kr 1 entre Cl 11 y 12 Oe,3.45068861,-76.55344833,0
519075,K2OEC14,Kr 20E entre Cl 14 y 15 Oe,3.447825,-76.55675944,0
519076,K2C13OE,Kr 2 entre Cl 13 y 12 Oe,3.44956556,-76.55392833,0
519077,K2C11OE,Kr 2 entre Cl 11 y 10 Oe,3.45099,-76.55094111,0
519078,K2C8OE,Kr 2 entre Cl 8 y 7 Oe,3.45178556,-76.54887278,0
519079,K1C2A,Kr 1 entre Cl 2 y 2A,3.45042083,-76.53986917,0
519080,K10C7,Kr 10 entre Cl 7 y 8,3.44648028,-76.53459611,0
519081,C5K15,Cl 5 entre Kr 15 y 16,3.44262028,-76.5367725,0
519082,C5K19,Cl 5 entre Kr 19 y 22,3.44053417,-76.53711417,0
519083,K23C5,Kr 23 entre Cl 5 y 3A,3.43909333,-76.53817167,0
519084,K23C2,Kr 23 entre Cl 2 y 1A,3.44064583,-76.54066333,0
519086,K24CC6,Kr 24C entre Cl 6 y 9,3.44189778,-76.54588139,0
519087,K24CC61,Kr 24C entre Cl 6 y  9,3.44286056,-76.54818972,0
519088,K14C9,Kr 14 entre Cl 9 y 8,3.44433,-76.54797167,0
519089,K14C6,Kr 14 entre Cl 6 y 7,3.44421667,-76.54538667,0
519090,K14C3,Kr 14 entre Cl 3 y 2,3.44343583,-76.54249083,0
519092,K14C31,Kr 14 entre Cl 3 y 4,3.44374083,-76.53860361,0
519093,C4BK27,Cl 4B entre Kr 27 y 34,3.43393222,-76.54219111,0
519094,K34C4,Kr 34 entre Cl 4 y 3,3.434605,-76.54462667,0
519095,C3OK34,Cl 3 Oe entre Kr 34 y 27,3.43667528,-76.54539639,0
519096,K27C5O,Kr 27 con Cl 5 Oe,3.43966083,-76.54679444,0
519097,K27C9O2,Kr 27 con Cl 9 Oe,3.44337944,-76.54847861,0
519098,K6C8O,Kr 6 con Cl 8 Oe,3.44532806,-76.54723861,0
519099,K4C6O,Kr 4 entre Cl 6 y 7 Oe,3.44693139,-76.54714806,0
519100,K4C8O2,Kr 4 entre Cl 8 y 9 Oe,3.44687167,-76.54865,0
519101,K4C11O,Kr 4 entre Cl 11 y 12 Oe,3.44617639,-76.55056528,0
519103,K4C12O,Kr 4 entre Cl 12 y 11 Oe,3.44616611,-76.55047222,0
519104,K4C9O,Kr 4 entre Cl 9 y 8 Oe,3.44681417,-76.54869667,0
519105,K4C7O,Kr 4 entre Cl 7 y 6 Oe,3.4468425,-76.54733944,0
519106,K6C8O1,Kr 6 con Cl 8 Oe,3.44542056,-76.54794833,0
519107,K27C9O1,Kr 27 con Cl 9 Oe,3.44306194,-76.54849889,0
519108,C5OK24E,Cl 5 Oe entre Kr 24E y 24F,3.44025833,-76.5474325,0
519109,K27C3O,Kr 27 entre Cl 3 y 2 Oe,3.43665528,-76.5449925,0
519110,K27C3,Kr 27 entre Cl 3 y 4,3.43543944,-76.54366444,0
519111,C1K13A,Cl 1 entre Kr 13A y 13,3.44420583,-76.54127917,0
519112,A1K2,Av 1 entre Kr 2 y Cl 2 OE,3.45108306,-76.54231306,0
519113,K24CC4OE,Kr 24C entre Cl 4 OE y 5 OE,3.44097694,-76.54412417,0
519115,C11OEK24,Cl 11 Oe con Kr 24D,3.44218083,-76.54881389,0
519117,C5K22,Cl 5 entre Kr  22 y 23,3.43944167,-76.53765167,0
519119,K10C10,Kr 10 entre Cl 10 y 11,3.44693139,-76.53231694,0
519120,K10C12,Kr 10 entre Cl 12 y 13,3.44749306,-76.53033917,0
519121,C21K10,Cl 21 entre Kr 9 y 10,3.44975806,-76.522875,0
519122,AV2OE,Av 2 Oeste,3.44707056,-76.55883028,0
519123,AV2OEC20,Av 2 Oeste con Cl 20,3.44764917,-76.56153583,0
519124,AV2OEATE,Av 2 Oeste Sector Atenas,3.44793167,-76.56373722,0
519125,AV2OC201,Av 2 Oeste con Cl 20,3.44761583,-76.56176583,0
519126,AV2OEBEL,Av 2 Oeste a Bellavista,3.44703694,-76.55918056,0
519127,K2OEC141,Kr 2 Oeste entre Cl 14 y Kr 2A1,3.44791056,-76.55651,0
519128,K4C12AO,Kr 4 entre Cl 12A y 13 Oeste,3.44522111,-76.55279972,0
519129,C13OK15,Cl 13 Oeste con Kr 15,3.44360083,-76.55386528,0
519130,C14OK23C,Cl 14 oeste entre Kr 23C y 24D,3.44155889,-76.55206472,0
519131,C14OK24C,Cl 14 Oeste entre Kr 24C y 24B,3.4419675,-76.55232389,0
519132,C14OK15,Cl 14 Oeste entre Kr 15 y 16,3.443345,-76.55394528,0
519133,K4C13O,Kr 4 entre Cl 13 y 12A Oeste,3.44518722,-76.5527275,0
519135,C5K6Y9,Cl 5 entre Kr 6 y 9 Clinica Comfenalco,3.44742833,-76.53693167,0
519136,C5K13,Cl 5 entre Kr 13 y 14,3.44418333,-76.53676,0
519138,C5K14Y13,Cl 5 entre Kr 14 y 13 Puente Peatonal,3.444355,-76.536535,0
519139,K10C15,Kr 10 entre Cl 15 y 16,3.44796639,-76.5270225,0
519140,K10C19,Kr 10 entre Cl 19 y 20,3.44885,-76.52370833,0
519141,K10C22A,Kr 10 entre Cl 22A y 23,3.44961806,-76.52061139,0
519142,C13K231,Cl 13 entre Kr 23 y 23A,3.43562111,-76.52835667,0
519144,C14OK24B,Cl 14 Oe entre Kr 24C y 24B,3.44206806,-76.55283722,0
519148,K23C13A,Kr 23 entre Cl 13A y 14,3.43585028,-76.52716222,0
519150,C15K23C,Cl 15 entre Kr 23C y 23,3.4353525,-76.52602778,0
519153,C15K23,Cl 15 entre Kr 23 y 23A,3.43540167,-76.52622389,0
519154,K25C18B,Kr 25 entre Cl 18B y 18C,3.43164556,-76.52385444,0
519155,K25C19A,Kr 25 entre Cl 19A y 19B,3.43223778,-76.52151556,0
519156,C23K25B,Cl 23 entre Kr 25B y 26 Santa Elena,3.43114611,-76.52080806,0
519157,K29C25,Kr 29 entre Cl 25 y 26B,3.42887583,-76.51950472,0
519159,K29C272,Kr 29 entre Cl 27 y 29,3.42853722,-76.516365,0
519160,K14C2Y2A,Kr 14 entre Cl 2 y 2A,3.44341417,-76.54034472,0
519161,A4NC3,Av 4N entre Cl 3 y 4 OE,3.45142917,-76.54405167,0
519162,K1C7OE,Kr 1 entre Cl 7 y 5 Oe,3.45359833,-76.54798944,0
519163,C8AV3,Cl 8 entre Av 3 y 4,3.454055,-76.53677583,0
519164,A4NC18,Av 4N entre Cl 18 y 19,3.45953333,-76.52940167,0
519165,A4NC21,Av 4N entre Cl 21 y 22,3.46161,-76.52786667,0
519166,A4NC23,Av 4N entre Cl 23 y 24,3.46396056,-76.52638722,0
519169,C25K11,Cl 25 entre Kr 11 y 11B,3.44916556,-76.51840722,0
519174,C21K7A,Cl 21 entre Kr 7 y 7A,3.45279944,-76.52359194,0
519175,C21K5,Cl 21 entre Kr 4 y 5,3.45535972,-76.52471222,0
519176,C8K6,Cl 8 entre Kr 6 y 8,3.44876556,-76.5346575,0
519181,A4OEC5,Av 4 Oeste con  Cl 5,3.45532472,-76.5481925,0
519182,A15OEC7,Av 15 Oeste con Cl 7,3.45799556,-76.54958222,0
519183,A15OEC9A,Av 15 Oeste Cl 9A,3.45950528,-76.55101917,0
519184,A15OC9A2,Av 15 Oeste Cl 9A 2,3.46018444,-76.55322139,0
519185,PRAUSA1,Puente del Rio Aguacatal Urbanizacion Se,3.45965944,-76.55562056,0
519186,C11OEK15,Cl 11 Oeste con Kr 15A,3.46191722,-76.55908472,0
519187,C14OEK12,Cl 14 Oeste con Kr 12A,3.46131889,-76.55998139,0
519188,A9OE,Av 9 Oeste,3.45960972,-76.5614,0
519189,A9OE2,Av 9 Oeste 2,3.4575775,-76.56317056,0
