trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
284d9193-0bef-47b4-9896-abc8b72c8587,00:08:30,00:08:30,STOP_65309067-83c8-4e6c-98b6-cc1abac00766,1,,0,0,0.0000000,0
284d9193-0bef-47b4-9896-abc8b72c8587,09:20:00,09:30:00,STOP_52e738c5-e75b-4c7b-8b49-2dd1651a00ca,2,,0,0,10414.3508357,0
284d9193-0bef-47b4-9896-abc8b72c8587,10:25:00,10:35:00,STOP_43398171-8854-47b1-9215-58669070eea7,3,,0,0,38809.8106105,0
284d9193-0bef-47b4-9896-abc8b72c8587,11:30:00,12:30:00,STOP_858703ad-22db-4ccf-a3a6-e3ffc4820f08,4,,0,0,85443.5853779,0
284d9193-0bef-47b4-9896-abc8b72c8587,13:05:00,15:15:00,STOP_f21ad35c-4ae7-4701-b890-bdb10081f9e7,5,,0,0,120160.8987752,0
284d9193-0bef-47b4-9896-abc8b72c8587,15:30:00,15:40:00,STOP_43398171-8854-47b1-9215-58669070eea7,6,,0,0,148556.3585500,0
284d9193-0bef-47b4-9896-abc8b72c8587,16:40:00,16:50:00,STOP_52e738c5-e75b-4c7b-8b49-2dd1651a00ca,7,,0,0,158970.7093857,0
284d9193-0bef-47b4-9896-abc8b72c8587,17:40:00,17:40:00,STOP_65309067-83c8-4e6c-98b6-cc1abac00766,8,,0,0,158970.7093857,0
