trip_id,start_time,end_time,headway_secs
18-1-D-F,05:45:00,21:00:00,480
18-0-D-F,05:45:00,21:00:00,480
19-1-D-F,05:45:00,20:25:00,480
19-0-D-F,05:45:00,20:25:00,480
1-1-D-F,04:45:00,21:00:00,480
1-0-D-F,04:45:00,21:00:00,480
2-1-D-F,05:30:00,21:00:00,480
2-0-D-F,05:30:00,21:00:00,480
4-1-D-F,05:00:00,20:42:00,480
4-0-D-F,05:00:00,20:42:00,480
5-1-D-F,05:30:00,21:30:00,480
5-0-D-F,05:30:00,21:30:00,480
6-1-D-F,05:37:00,21:25:00,480
6-0-D-F,05:37:00,21:25:00,480
7-1-D-F,05:30:00,20:45:00,480
7-0-D-F,05:30:00,20:45:00,480
20-0-D-F,05:30:00,20:30:00,480
20-1-D-F,05:30:00,20:30:00,480
21-1-D-F,05:30:00,20:30:00,480
21-0-D-F,05:30:00,20:30:00,480
