"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"319B","Sitva-8","319B","San Antonio de Prado El Vergel-Naranjito bus","Directa Centro","3","","","",""
"140","Sitva-9","140","Guayabal Cristo Rey N°1","Directa Centro","3","","","",""
"141","Sitva-9","141","Guayabal La Raya","Directa Centro","3","","","",""
"142","Sitva-9","142","Guayabal Viviendas del Sur","Directa Centro","3","","","",""
"143","Sitva-9","143","La Colinita","Directa","3","","","",""
"143i","Sitva-9","143i","Aeropuerto Terminal del Sur-Mota-Metro","Integrada","3","","","",""
"317i","Sitva-8","317i","Limonar estación Itagüí","Integrada","3","","","",""
"317 1-2","Sitva-8","317 1-2","San Antonio de Prado El Limonar","Directa Centro","3","","","",""
"317 2-1","Sitva-8","317 2-1","San Antonio de Prado El Limonar","Directa Centro","3","","","",""
"Ruta 11","Sitva-8","Ruta 11","Villa Loma","Directa No Centro","3","","","",""
"Ruta 12","Sitva-8","Ruta 12","El Salado","Directa No Centro","3","","","",""
"Ruta 13","Sitva-8","Ruta 13","Montañita","Directa No Centro","3","","","",""
"160","Sitva-10","160","Trinidad-Parque Berrío","Directa Centro","3","","","",""
"160i","Sitva-10","160i","Terminal del Sur estación Industriales","Integrada","3","","","",""
"161","Sitva-10","161","Trinidad-Parque Berrío-Minorista","Directa Centro","3","","","",""
"246ii","Sitva-11","246ii","Blanquizal integrada","Integrada","3","","","",""
"250AiP","Sitva-12","250AiP","Pajarito integrada","Integrada","3","","","",""
"250Aii","Sitva-12","250Aii","Tulipanes La Huerta integrada","Integrada","3","","","",""
"250R","Sitva-12","250R","Robledales","Directa Centro","3","","","",""
"250iVF","Sitva-12","250iVF","Villa Flora integrada","Integrada","3","","","",""
"250iR","Sitva-12","250iR","Robledal integrada","Integrada","3","","","",""
"250VF","Sitva-12","250VF","Robledo Villa Flora","Directa Centro","3","","","",""
"251","Sitva-12","251","Margaritas","Directa Centro","3","","","",""
"252","Sitva-12","252","Kennedy","Directa Centro","3","","","",""
"250AH","Sitva-12","250AH","La Huerta","Directa Centro","3","","","",""
"250M","Sitva-12","250M","Moravia","Integrada","3","","","",""
"250AP","Sitva-12","250AP","Pajarito","Directa Centro","3","","","",""
"255A","Sitva-13","255A","Nuevo Occidente-Las Flores","Directa Centro","3","","","",""
"255D","Sitva-13","255D","San Cristóbal -Conexión vial","Directa Centro","3","","","",""
"Ruta 2","Sitva-8","Ruta 2","Pradito - Barichara","Directa No Centro","3","","","",""
"Ruta 3","Sitva-8","Ruta 3","Pradito - Vergel","Directa No Centro","3","","","",""
"Ruta 4","Sitva-8","Ruta 4","Vergel - Pradito","Directa No Centro","3","","","",""
"Ruta 5","Sitva-8","Ruta 5","Florida A","Directa No Centro","3","","","",""
"Ruta 6","Sitva-8","Ruta 6","Veredal","Directa No Centro","3","","","",""
"Ruta 7","Sitva-8","Ruta 7","Naranjitos","Directa No Centro","3","","","",""
"Ruta 8VC","Sitva-8","Ruta 8VC","La Verde - Las Camelias","Directa No Centro","3","","","",""
"Ruta 8VR","Sitva-8","Ruta 8VR","La Verde - Los Rieles","Directa No Centro","3","","","",""
"Ruta 9","Sitva-8","Ruta 9","Horizontes","Directa No Centro","3","","","",""
"246","Sitva-11","246","Blanquizal","Directa Centro","3","","","",""
"246D","Sitva-11","246D","Blanquizal Calazanía directa","Directa Centro","3","","","",""
"246C","Sitva-11","246C","Blanquizal Calazanía","Directa Centro","3","","","",""
"246i","Sitva-11","246i","Blanquizal integrada","Integrada","3","","","",""
"260CL","Sitva-12","260CL","Clínica","Directa Centro","3","","","",""
"260C","Sitva-12","260C","Córdoba","Directa Centro","3","","","",""
"260i","Sitva-12","260i","Seminario integrada","Integrada","3","","","",""
"260BR","Sitva-12","260BR","Brisas","Directa Centro","3","","","",""
"260T","Sitva-12","260T","Torres","Directa Centro","3","","","",""
"288","Sitva-14","288","Doce de Octubre","Directa Centro","3","","","",""
"261A","Sitva-14","261A","Alfonso López - Viejo Terminal","Directa Centro","3","","","",""
"254i","Sitva-14","254i","Pilarica integrada","Integrada","3","","","",""
"267","Sitva-12","267","Éxito","Directa Centro","3","","","",""
"285","Sitva-12","285","Doce de Octubre","Directa Centro","3","","","",""
"253D","Sitva-12","253D","Aures derecha","Directa Centro","3","","","",""
"253I","Sitva-12","253I","Aures izquierda","Directa Centro","3","","","",""
