trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MM-H-VSIERRA-SATERDAY,04:30:00,04:30:00,MM-ORIH,0,,,,
MM-H-VSIERRA-SATERDAY,04:35:00,04:35:00,MM-TOR,1,,,,
MM-H-VSIERRA-SATERDAY,04:42:00,04:42:00,MM-VIS,2,,,,
MM-H-VSIERRA-SUNDAY,09:00:00,09:00:00,MM-ORIH,0,,,,
MM-H-VSIERRA-SUNDAY,09:05:00,09:05:00,MM-TOR,1,,,,
MM-H-VSIERRA-SUNDAY,09:12:00,09:12:00,MM-VIS,2,,,,
MM-B-SJAVIER-WEEK,04:30:00,04:30:00,MM-SABB,0,,,,
MM-B-SJAVIER-WEEK,04:32:00,04:32:00,MM-CISB,1,,,,
MM-B-SJAVIER-WEEK,04:34:00,04:34:00,MM-SAM,2,,,,
MM-B-SJAVIER-WEEK,04:35:00,04:35:00,MM-EST,3,,,,
MM-B-SJAVIER-WEEK,04:37:00,04:37:00,MM-FLO,4,,,,
MM-B-SJAVIER-WEEK,04:39:00,04:39:00,MM-LUC,5,,,,
MM-B-SJAVIER-WEEK,04:41:00,04:41:00,MM-JAVB,6,,,,
MM-B-SJAVIER-SATERDAY,04:30:00,04:30:00,MM-SABB,0,,,,
MM-B-SJAVIER-SATERDAY,04:32:00,04:32:00,MM-CISB,1,,,,
MM-B-SJAVIER-SATERDAY,04:34:00,04:34:00,MM-SAM,2,,,,
MM-B-SJAVIER-SATERDAY,04:35:00,04:35:00,MM-EST,3,,,,
MM-B-SJAVIER-SATERDAY,04:37:00,04:37:00,MM-FLO,4,,,,
MM-B-SJAVIER-SATERDAY,04:39:00,04:39:00,MM-LUC,5,,,,
MM-B-SJAVIER-SATERDAY,04:41:00,04:41:00,MM-JAVB,6,,,,
MM-B-SJAVIER-SUNDAY,05:00:00,05:00:00,MM-SABB,0,,,,
MM-B-SJAVIER-SUNDAY,05:02:00,05:02:00,MM-CISB,1,,,,
MM-B-SJAVIER-SUNDAY,05:04:00,05:04:00,MM-SAM,2,,,,
MM-B-SJAVIER-SUNDAY,05:05:00,05:05:00,MM-EST,3,,,,
