"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"105","FULLWEEK","105-0","Golondrinas","","0","","105-0","0","2"
"142","FULLWEEK","142-1","Guayabal Viviendas del Sur","","1","","142-1","0","2"
"142i","FULLWEEK","142i-1","Metro Aguacatala","","1","","142i-1","0","2"
"105","FULLWEEK","105-0","El Faro","","0","","105-0","0","2"
"106","FULLWEEK","106-0","Tres Esquinas","","0","","106-0","0","2"
"C6-005","FULLWEEK","C6-005-1","Cerros el Vergel - San José","","1","","C6-005-1","0","2"
"C6-005A","FULLWEEK","C6-005A-1","Quinta Linda - San José","","1","","C6-005A-1","0","2"
"C6-019","FULLWEEK","C6-019-1","El Raizal - Jardín - Gardel","","1","","C6-019-1","0","2"
"C6-019A","FULLWEEK","C6-019A-1","El Raizal - Jardín - Gardel","","1","","C6-019A-1","0","2"
"C3-006A","FULLWEEK","C3-006A-0","Ruta Alimentadora - Cuenca 3","","0","","C3-006A-0","0","2"
"286","FULLWEEK","286-0","Circular 286","","0","","286-0","0","2"
"93","FULLWEEK","93-0","Caicedo La Toma","","0","","93-0","0","2"
"93","FULLWEEK","93-0","Caicedo","","0","","93-0","0","2"
"93","FULLWEEK","93-0","Caicedo La Toma Minorista","","0","","93-0","0","2"
"193","FULLWEEK","193-0","Laureles Nogal # 2","","0","","193-0","0","2"
"193i","FULLWEEK","193i-0","Estadio-Bolivariana-Laureles","","0","","193i-0","0","2"
"193ii","FULLWEEK","193ii-0","Estadio-Laureles Santa Teresita","","0","","193ii-0","0","2"
"246","FULLWEEK","246-0","Blanquizal","","0","","246-0","0","2"
"202i","FULLWEEK","202i-0","El Morro-Travesías-Corazón-Santa Lucía","","0","","202i-0","0","2"
"203 Corazón","FULLWEEK","203 Corazón-0","Corazón-Oriental","","0","","203 Corazón-0","0","2"
"313","FULLWEEK","313-0","Terminal del Norte-Terminal del Sur","","0","","313-0","0","2"
"221A","FULLWEEK","221A-0","San Javier Derecho-La Caseta-Oriental","","0","","221A-0","0","2"
"221B","FULLWEEK","221B-0","San Javier Derecho-Cuatro Esquinas-Oriental","","0","","221B-0","0","2"
"221i","FULLWEEK","221i-0","Villa Laura-San Javier","","0","","221i-0","0","2"
"222","FULLWEEK","222-0","San Javier Niza - Oriental","","0","","222-0","0","2"
"225i-1","FULLWEEK","225i-1-0","20 de Julio","","0","","225i-1-0","0","2"
"143i","FULLWEEK","143i-0","Aeropuerto Terminal del Sur-Mota-Metro","","0","","143i-0","0","2"
"317 2-1","FULLWEEK","317 2-1-0","San Antonio de Prado El Limonar-La Florida","","0","","317 2-1-0","0","2"
"317 2-1","FULLWEEK","317 2-1-0","San Antonio de Prado El Limonar-Pradito","","0","","317 2-1-0","0","2"
"318i","FULLWEEK","318i-0","San Antonio de Prado estación Sabaneta","","0","","318i-0","0","2"
"225i-2","FULLWEEK","225i-2-0","Colinas","","0","","225i-2-0","0","2"
"227i-1","FULLWEEK","227i-1-0","Quintas","","0","","227i-1-0","0","2"
"227i-B","FULLWEEK","227i-B-0","Gabriela","","0","","227i-B-0","0","2"
"227iB-2","FULLWEEK","227iB-2-0","Socorro","","0","","227iB-2-0","0","2"
"227i-C","FULLWEEK","227i-C-0","Caseta","","0","","227i-C-0","0","2"
"228i","FULLWEEK","228i-0","Conquistadores","","0","","228i-0","0","2"
"94","FULLWEEK","94-0","Santa Lucía","","0","","94-0","0","2"
"195i","FULLWEEK","195i-0","Simón Bolívar-Unicentro-estación Santa Lucía","","0","","195i-0","0","2"
"200","FULLWEEK","200-0","Barrio Cristóbal-Oriental","","0","","200-0","0","2"
"201","FULLWEEK","201-0","Éxito Corazón","","0","","201-0","0","2"
"107","FULLWEEK","107-0","Perlas","","0","","107-0","0","2"
"201B","FULLWEEK","201B-0","Corazón-Plaza Minorista","","0","","201B-0","0","2"
"243","FULLWEEK","243-1","La Divisa","","1","","243-1","0","2"
"195ii","FULLWEEK","195ii-0","Laureles Campestre-estación Santa Lucía - estación Floresta","","0","","195ii-0","0","2"
"201i","FULLWEEK","201i-0","Los Tanques-El Volcán-El Corazón-San Javier","","0","","201i-0","0","2"
"195ii","FULLWEEK","195ii-1","Laureles Campestre-estación Santa Lucía - estación Floresta","","1","","195ii-1","0","2"
"243","FULLWEEK","243-1","La Quiebra","","1","","243-1","0","2"
"C6-002","FULLWEEK","C6-002-1","Villa Hermosa - Hospital","","1","","C6-002-1","0","2"
"C6-003","FULLWEEK","C6-003-1","Campo Valdés - Hospital","","1","","C6-003-1","0","2"
"C6-004","FULLWEEK","C6-004-1","La Milagrosa - Exposiciones","","1","","C6-004-1","0","2"
"C6-006","FULLWEEK","C6-006-1","Villa Liliam - Alejandro Echavarría","","1","","C6-006-1","0","2"
"C6-007","FULLWEEK","C6-007-1","Buenos Aires - San Antonio","","1","","C6-007-1","0","2"
"C6-008","FULLWEEK","C6-008-1","La Libertad - Prado","","1","","C6-008-1","0","2"
"C6-009","FULLWEEK","C6-009-1","Enciso - Prado","","1","","C6-009-1","0","2"
"C6-010A","FULLWEEK","C6-010A-1","Villatina - Alejandro Echavarría","","1","","C6-010A-1","0","2"
"C6-018","FULLWEEK","C6-018-1","Santa Cecilia - Tricentenario","","1","","C6-018-1","0","2"
"260T","FULLWEEK","260T-0","Torres","","0","","260T-0","0","2"
"C6-020","FULLWEEK","C6-020-1","San José de la Cima - Universidad","","1","","C6-020-1","0","2"
"C6-021","FULLWEEK","C6-021-1","Granizal - Tricentenario","","1","","C6-021-1","0","2"
"C6-010","FULLWEEK","C6-010-1","Villatina - Parque Berrío","","1","","C6-010-1","0","2"
"C6-011","FULLWEEK","C6-011-1","Popular N° 2 - El Playón - Acevedo","","1","","C6-011-1","0","2"
"C6-012","FULLWEEK","C6-012-1","La Francia - Acevedo","","1","","C6-012-1","0","2"
"C6-013","FULLWEEK","C6-013-1","Popular N° 1 - Tricentenario","","1","","C6-013-1","0","2"
"C6-016","FULLWEEK","C6-016-1","Nuevo Horizonte - Hospital","","1","","C6-016-1","0","2"
"178","FULLWEEK","178-1","Belén La Nubia","","1","","178-1","0","2"
"135A","FULLWEEK","135A-1","Poblado_Campestre","","1","","135A-1","0","2"
"243iD","FULLWEEK","243iD-0","Floresta Directa","","0","","243iD-0","0","2"
"289","FULLWEEK","289-0","Pilarica Calle 96","","0","","289-0","0","2"
"C23i","FULLWEEK","C23i-0","San Cristóbal-estación San Javier","","0","","C23i-0","0","2"
"C23i","FULLWEEK","C23i-0","La Palma-estación San Javier","","0","","C23i-0","0","2"
"Anillo F3 Carrera 73","FULLWEEK","Anillo F3 Carrera 73-0","Parque Los Periodistas","","0","","Anillo F3 Carrera 73-0","0","2"
"C23i","FULLWEEK","C23i-0","San Cristóbal-Calle Negra-estación Aurora","","0","","C23i-0","0","2"
"107","FULLWEEK","107-0","San Antonio","","0","","107-0","0","2"
"C6-022","FULLWEEK","C6-022-1","La Cruz - Prado","","1","","C6-022-1","0","2"
"C6-023","FULLWEEK","C6-023-1","Santa Lucía - 8 de Marzo - Estación Alejandro Echavarría","","1","","C6-023-1","0","2"
"C6-024","FULLWEEK","C6-024-1","8 de Marzo - Santa Lucía - Estación Alejandro Echavarría","","1","","C6-024-1","0","2"
"C6-025","FULLWEEK","C6-025-1","La Espadera - 8 de Marzo - Oriente","","1","","C6-025-1","0","2"
"C3-008","FULLWEEK","C3-008-1","Rosales - Belén Rincón","","1","","C3-008-1","0","2"
"303","FULLWEEK","303-1","Circular derecha 303","","1","","303-1","0","2"
"302","FULLWEEK","302-1","Circular izquierda 302","","1","","302-1","0","2"
"130A","FULLWEEK","130A-0","Poblado Parque alterna","","0","","130A-0","0","2"
"300","FULLWEEK","300-1","Circular","","1","","300-1","0","2"
"310","FULLWEEK","310-1","Circular","","1","","310-1","0","2"
"311","FULLWEEK","311-1","Circular","","1","","311-1","0","2"
"305","FULLWEEK","305-1","Comercial Hotelera izquierda","","1","","305-1","0","2"
"308","FULLWEEK","308-1","Ruta de la Salud derecha","","1","","308-1","0","2"
"308D","FULLWEEK","308D-1","Ruta de la Salud derecha directa","","1","","308D-1","0","2"
"253iAR","FULLWEEK","253iAR-0","Robledo Aures integrada Ramal","","0","","253iAR-0","0","2"
"255V1D","FULLWEEK","255V1D-0","Vereda El Llano - Centro","","0","","255V1D-0","0","2"
"316","FULLWEEK","316-1","Circular 316","","1","","316-1","0","2"
"C3-001","FULLWEEK","C3-001-1","Santa Gema - La Mota - Aguacatala","","1","","C3-001-1","0","2"
"C3-001A","FULLWEEK","C3-001A-1","Santa Gema - La Mota - Aguacatala","","1","","C3-001A-1","0","2"
"C3-002","FULLWEEK","C3-002-1","Aguacatala - Bulerías","","1","","C3-002-1","0","2"
"C3-003P","FULLWEEK","C3-003P-1","Belén - Piscina - Aula Ambiental","","1","","C3-003P-1","0","2"
"C3-003RV","FULLWEEK","C3-003RV-1","Ruta Alimentadora - Cuenca 3","","1","","C3-003RV-1","0","2"
"C3-003","FULLWEEK","C3-003-1","Belén - Manzanillo","","1","","C3-003-1","0","2"
"C3-004","FULLWEEK","C3-004-1","Belén Altavista - Los Alpes","","1","","C3-004-1","0","2"
"C3-005","FULLWEEK","C3-005-1","Belén Aguas Frías - U de M","","1","","C3-005-1","0","2"
"C3-006","FULLWEEK","C3-006-1","Las Violetas - Villa Café - U de M","","1","","C3-006-1","0","2"
"C3-007","FULLWEEK","C3-007-1","Loma de los Bernal - La Palma","","1","","C3-007-1","0","2"
"C3-007A","FULLWEEK","C3-007A-1","Loma de los Bernal - Aliadas - La Palma","","1","","C3-007A-1","0","2"
"317 2-1","FULLWEEK","317 2-1-1","San Antonio de Prado El Limonar","","1","","317 2-1-1","0","2"
"317 Aguacatala","FULLWEEK","317 Aguacatala-1","317 Aguacatala","","1","","317 Aguacatala-1","0","2"
"318B","FULLWEEK","318B-1","San Antonio de Prado bus Barichara-Limonar","","1","","318B-1","0","2"
"318B","FULLWEEK","318B-1","San Antonio de Prado bus La Verde-Los Rieles","","1","","318B-1","0","2"
"318M","FULLWEEK","318M-1","San Antonio de Prado micro","","1","","318M-1","0","2"
"319B","FULLWEEK","319B-1","San Antonio de Prado","","1","","319B-1","0","2"
"319i","FULLWEEK","319i-1","San Antonio de Prado El Vergel estación Sabaneta","","1","","319i-1","0","2"
"Ruta 1","FULLWEEK","Ruta 1-1","Barichara - Pradito","","1","","Ruta 1-1","0","2"
"Ruta 10","FULLWEEK","Ruta 10-1","Integrada El Vergel","","1","","Ruta 10-1","0","2"
"Ruta 11","FULLWEEK","Ruta 11-1","Villa Loma","","1","","Ruta 11-1","0","2"
"Ruta 12","FULLWEEK","Ruta 12-1","El Salado","","1","","Ruta 12-1","0","2"
"319B","FULLWEEK","319B-1","San Antonio de Prado El Vergel-Naranjito bus","","1","","319B-1","0","2"
"319M","FULLWEEK","319M-1","San Antonio de Prado El Vergel micro","","1","","319M-1","0","2"
"140","FULLWEEK","140-1","Guayabal Cristo Rey N°1","","1","","140-1","0","2"
"51-52 CV-O","FULLWEEK","51-52 CV-O-0","Campo Valdés Oriental","","0","","51-52 CV-O-0","0","2"
"91","FULLWEEK","91-0","Llanadas","","0","","91-0","0","2"
"105","FULLWEEK","105-0","Golondrinas - Minorista","","0","","105-0","0","2"
"106","FULLWEEK","106-0","Tres Esquinas - Minorista horario especial","","0","","106-0","0","2"
"98 Directa 1","FULLWEEK","98 Directa 1-0","Santa Elena-Mazo-Las Brisas-Medellín","","0","","98 Directa 1-0","0","2"
"98 Directa 2","FULLWEEK","98 Directa 2-0","Santa Elena-Barro Blanco-Las Brisas-Medellín","","0","","98 Directa 2-0","0","2"
"98 Directa 3","FULLWEEK","98 Directa 3-0","Santa Elena-Las Brisas-Medellín","","0","","98 Directa 3-0","0","2"
"98 Directa 4","FULLWEEK","98 Directa 4-0","Santa Elena-Perico-Las Brisas-Medellín","","0","","98 Directa 4-0","0","2"
"98 Directa 5","FULLWEEK","98 Directa 5-0","Santa Elena-El Plan-Las Brisas-Medellín","","0","","98 Directa 5-0","0","2"
"98 Directa 6","FULLWEEK","98 Directa 6-0","Santa Elena-Piedras Blancas-Medellín","","0","","98 Directa 6-0","0","2"
"98 Directa 7","FULLWEEK","98 Directa 7-0","Santa Elena-Barro Blanco-Medellín","","0","","98 Directa 7-0","0","2"
"143","FULLWEEK","143-1","La Colinita","","1","","143-1","0","2"
"98 Directa 8","FULLWEEK","98 Directa 8-0","Santa Elena-El Cerro-Las Brisas-Medellín","","0","","98 Directa 8-0","0","2"
"98 Directa 9","FULLWEEK","98 Directa 9-0","Santa Elena-Piedras Blancas-Las Brisas-Medellín","","0","","98 Directa 9-0","0","2"
"95","FULLWEEK","95-0","Perlas Minorista","","0","","95-0","0","2"
"317i","FULLWEEK","317i-1","Limonar estación Itagüí","","1","","317i-1","0","2"
"317 1-2","FULLWEEK","317 1-2-1","San Antonio de Prado El Limonar","","1","","317 1-2-1","0","2"
"Ruta 13","FULLWEEK","Ruta 13-1","Montañita","","1","","Ruta 13-1","0","2"
"160","FULLWEEK","160-1","Trinidad-Parque Berrío","","1","","160-1","0","2"
"160i","FULLWEEK","160i-1","Terminal del Sur estación Industriales","","1","","160i-1","0","2"
"161","FULLWEEK","161-1","Trinidad-Parque Berrío-Minorista","","1","","161-1","0","2"
"Ruta 2","FULLWEEK","Ruta 2-1","Pradito - Barichara","","1","","Ruta 2-1","0","2"
"Ruta 3","FULLWEEK","Ruta 3-1","Pradito - Vergel","","1","","Ruta 3-1","0","2"
"246ii","FULLWEEK","246ii-1","Blanquizal integrada","","1","","246ii-1","0","2"
"250AiP","FULLWEEK","250AiP-1","Pajarito integrada","","1","","250AiP-1","0","2"
"250Aii","FULLWEEK","250Aii-1","Tulipanes La Huerta integrada","","1","","250Aii-1","0","2"
"201","FULLWEEK","201-0","Éxito Corazón","","0","","201-0","0","2"
"250iR","FULLWEEK","250iR-1","Robledal integrada","","1","","250iR-1","0","2"
"250M","FULLWEEK","250M-1","Moravia","","1","","250M-1","0","2"
"250AP","FULLWEEK","250AP-1","Pajarito","","1","","250AP-1","0","2"
"220","FULLWEEK","220-0","San Javier-Eduardo Santos-Oriental","","0","","220-0","0","2"
"223","FULLWEEK","223-0","San Javier La Loma-Minorista","","0","","223-0","0","2"
"317 2-1","FULLWEEK","317 2-1-1","San Antonio de Prado El Limonar-La Florida","","1","","317 2-1-1","0","2"
"317 2-1","FULLWEEK","317 2-1-1","San Antonio de Prado El Limonar-Pradito","","1","","317 2-1-1","0","2"
"255V1D","FULLWEEK","255V1D-1","Vereda El Llano - Centro","","1","","255V1D-1","0","2"
"98 Directa 1","FULLWEEK","98 Directa 1-1","Santa Elena-Mazo-Las Brisas-Medellín","","1","","98 Directa 1-1","0","2"
"98 Directa 2","FULLWEEK","98 Directa 2-1","Santa Elena-Barro Blanco-Las Brisas-Medellín","","1","","98 Directa 2-1","0","2"
"98 Directa 3","FULLWEEK","98 Directa 3-1","Santa Elena-Las Brisas-Medellín","","1","","98 Directa 3-1","0","2"
"98 Directa 4","FULLWEEK","98 Directa 4-1","Santa Elena-Perico-Las Brisas-Medellín","","1","","98 Directa 4-1","0","2"
"98 Directa 5","FULLWEEK","98 Directa 5-1","Santa Elena-El Plan-Las Brisas-Medellín","","1","","98 Directa 5-1","0","2"
"98 Directa 6","FULLWEEK","98 Directa 6-1","Santa Elena-Piedras Blancas-Medellín","","1","","98 Directa 6-1","0","2"
"98 Directa 7","FULLWEEK","98 Directa 7-1","Santa Elena-Barro Blanco-Medellín","","1","","98 Directa 7-1","0","2"
"95","FULLWEEK","95-0","Villatina Minorista","","0","","95-0","0","2"
"250AH","FULLWEEK","250AH-1","La Huerta","","1","","250AH-1","0","2"
"Ruta 4","FULLWEEK","Ruta 4-1","Vergel - Pradito","","1","","Ruta 4-1","0","2"
"Ruta 5","FULLWEEK","Ruta 5-1","Florida A","","1","","Ruta 5-1","0","2"
"Ruta 6","FULLWEEK","Ruta 6-1","Veredal","","1","","Ruta 6-1","0","2"
"Ruta 7","FULLWEEK","Ruta 7-1","Naranjitos","","1","","Ruta 7-1","0","2"
"Ruta 8VC","FULLWEEK","Ruta 8VC-1","La Verde - Las Camelias","","1","","Ruta 8VC-1","0","2"
"Ruta 8VR","FULLWEEK","Ruta 8VR-1","La Verde - Los Rieles","","1","","Ruta 8VR-1","0","2"
"Ruta 9","FULLWEEK","Ruta 9-1","Horizontes","","1","","Ruta 9-1","0","2"
"136i","FULLWEEK","136i-0","Castropol - Colegio Latino","","0","","136i-0","0","2"
"287","FULLWEEK","287-0","Terminal de Transporte Norte","","0","","287-0","0","2"
"246D","FULLWEEK","246D-1","Blanquizal Calazanía directa","","1","","246D-1","0","2"
"136ii","FULLWEEK","136ii-1","Las Palmas - CES","","1","","136ii-1","0","2"
"246i","FULLWEEK","246i-1","Blanquizal integrada","","1","","246i-1","0","2"
"51-52 CV-F","FULLWEEK","51-52 CV-F-0","Campo Valdés Ferrocarril","","0","","51-52 CV-F-0","0","2"
"221B","FULLWEEK","221B-1","San Javier Derecho-Cuatro Esquinas-Oriental","","1","","221B-1","0","2"
"221i","FULLWEEK","221i-1","Villa Laura-San Javier","","1","","221i-1","0","2"
"222","FULLWEEK","222-1","San Javier Niza - Oriental","","1","","222-1","0","2"
"Anillo 1 Carrera 65","FULLWEEK","Anillo 1 Carrera 65-1","Carabobo - Av. de Greiff","","1","","Anillo 1 Carrera 65-1","0","2"
"Anillo 3AH Carrera 65","FULLWEEK","Anillo 3AH Carrera 65-1","Alpujarra - Oriental sentido antihorario","","1","","Anillo 3AH Carrera 65-1","0","2"
"Anillo 3H Carrera 65","FULLWEEK","Anillo 3H Carrera 65-1","Alpujarra - Oriental sentido horario","","1","","Anillo 3H Carrera 65-1","0","2"
"255V4","FULLWEEK","255V4-1","Las Playas","","1","","255V4-1","0","2"
"255V5","FULLWEEK","255V5-1","La Cuchilla","","1","","255V5-1","0","2"
"255I","FULLWEEK","255I-1","El Llano","","1","","255I-1","0","2"
"255 V3 HOR ESP","FULLWEEK","255 V3 HOR ESP-1","Boqueron Centro Horario Especial","","1","","255 V3 HOR ESP-1","0","2"
"318ii","FULLWEEK","318ii-1","San Antonio de Prado estación La Estrella","","1","","318ii-1","0","2"
"243i","FULLWEEK","243i-0","Floresta","","0","","243i-0","0","2"
"69","FULLWEEK","69-1","El Jardín","","1","","69-1","0","2"
"88","FULLWEEK","88-1","Pinar Torres","","1","","88-1","0","2"
"225i-1","FULLWEEK","225i-1-1","20 de Julio","","1","","225i-1-1","0","2"
"225i-2","FULLWEEK","225i-2-1","Colinas","","1","","225i-2-1","0","2"
"Anillo 3H Carrera 65 Horario Esp","FULLWEEK","Anillo 3H Carrera 65 Horario Esp-1","Alpujarra - Oriental sentido horario","","1","","Anillo 3H Carrera 65 Horario Esp-1","0","2"
"Anillo F1 Carrera 65","FULLWEEK","Anillo F1 Carrera 65-1","Av. Greiff - Puente Horacio Toro","","1","","Anillo F1 Carrera 65-1","0","2"
"Anillo F2 Carrera 65","FULLWEEK","Anillo F2 Carrera 65-1","Av. Regional - San Diego","","1","","Anillo F2 Carrera 65-1","0","2"
"Anillo F3 Carrera 73","FULLWEEK","Anillo F3 Carrera 73-1","Parque Los Periodistas","","1","","Anillo F3 Carrera 73-1","0","2"
"136i","FULLWEEK","136i-1","Castropol - Colegio Latino","","1","","136i-1","0","2"
"113B","FULLWEEK","113B-0","Ávila","","0","","113B-0","0","2"
"51-52 CV-C","FULLWEEK","51-52 CV-C-0","Campo Valdés Centro","","0","","51-52 CV-C-0","0","2"
"311i","FULLWEEK","311i-1","Calasanz integrada","","1","","311i-1","0","2"
"87","FULLWEEK","87-0","Pinar Torres","","0","","87-0","0","2"
"255D","FULLWEEK","255D-1","San Cristóbal -Conexión vial","","1","","255D-1","0","2"
"255","FULLWEEK","255-1","San Cristóbal - Doña María","","1","","255-1","0","2"
"255i","FULLWEEK","255i-1","Metrocable Aurora-Cárcel","","1","","255i-1","0","2"
"Anillo F3 Carrera 65","FULLWEEK","Anillo F3 Carrera 65-1","Parque Los Periodistas","","1","","Anillo F3 Carrera 65-1","0","2"
"Anillo 1 Carrera 73","FULLWEEK","Anillo 1 Carrera 73-1","Carabobo - Av. Greiff","","1","","Anillo 1 Carrera 73-1","0","2"
"Anillo 2 Carrera 73","FULLWEEK","Anillo 2 Carrera 73-1","El Hueco - Parque Berrío","","1","","Anillo 2 Carrera 73-1","0","2"
"287","FULLWEEK","287-1","Terminal de Transporte Norte","","1","","287-1","0","2"
"133","FULLWEEK","133-0","Poblado San Lucas","","0","","133-0","0","2"
"130A","FULLWEEK","130A-1","Poblado Parque alterna","","1","","130A-1","0","2"
"255iD","FULLWEEK","255iD-1","Metrocable La Aurora","","1","","255iD-1","0","2"
"255P","FULLWEEK","255P-1","Palmitas-Centro","","1","","255P-1","0","2"
"Anillo 3ah Carrera 73","FULLWEEK","Anillo 3ah Carrera 73-1","Alpujarra - Oriental sentido antihorario","","1","","Anillo 3ah Carrera 73-1","0","2"
"Anillo 3h Carrera 73","FULLWEEK","Anillo 3h Carrera 73-1","Alpujarra - Oriental sentido horario","","1","","Anillo 3h Carrera 73-1","0","2"
"Anillo F1 Carrera 73","FULLWEEK","Anillo F1 Carrera 73-1","Av. Greiff - Puente Horacio Toro","","1","","Anillo F1 Carrera 73-1","0","2"
"98 Directa 8","FULLWEEK","98 Directa 8-1","Santa Elena-El Cerro-Las Brisas-Medellín","","1","","98 Directa 8-1","0","2"
"98 Directa 9","FULLWEEK","98 Directa 9-1","Santa Elena-Piedras Blancas-Las Brisas-Medellín","","1","","98 Directa 9-1","0","2"
"223","FULLWEEK","223-1","San Javier La Loma-Minorista","","1","","223-1","0","2"
"51-52 CV-F","FULLWEEK","51-52 CV-F-1","Campo Valdés Ferrocarril","","1","","51-52 CV-F-1","0","2"
"202","FULLWEEK","202-0","Santa Mónica-Oriental","","0","","202-0","0","2"
"255V1 ","FULLWEEK","255V1 -1","Vereda El Llano - Parque San Cristóbal","","1","","255V1 -1","0","2"
"255V2","FULLWEEK","255V2-1","Vereda Yolombó - Parque San Cristóbal","","1","","255V2-1","0","2"
"255V3 ","FULLWEEK","255V3 -1","Derecha Vereda Boquerón - Parque San Cristóbal","","1","","255V3 -1","0","2"
"255V3","FULLWEEK","255V3-1","Izquierda Vereda Boquerón - Parque San Cristóbal","","1","","255V3-1","0","2"
"311i","FULLWEEK","311i-0","Calasanz integrada","","0","","311i-0","0","2"
"170","FULLWEEK","170-1","Belén Las Playas","","1","","170-1","0","2"
"260CL","FULLWEEK","260CL-1","Clínica","","1","","260CL-1","0","2"
"2","FULLWEEK","2-1","Santa Rita -Zamora","","1","","2-1","0","2"
"6","FULLWEEK","6-1","La Francia","","1","","6-1","0","2"
"113B","FULLWEEK","113B-1","Ávila","","1","","113B-1","0","2"
"C3-006A","FULLWEEK","C3-006A-1","Ruta Alimentadora - Cuenca 3","","1","","C3-006A-1","0","2"
"286","FULLWEEK","286-1","Circular 286","","1","","286-1","0","2"
"172","FULLWEEK","172-1","Belén La Gloria","","1","","172-1","0","2"
"250VF","FULLWEEK","250VF-1","Robledo Villa Flora","","1","","250VF-1","0","2"
"22","FULLWEEK","22-1","Santa Cruz - Terminal","","1","","22-1","0","2"
"51-52 CV-O","FULLWEEK","51-52 CV-O-1","Campo Valdés Oriental","","1","","51-52 CV-O-1","0","2"
"95","FULLWEEK","95-1","Perlas","","1","","95-1","0","2"
"51-52 CV-C","FULLWEEK","51-52 CV-C-1","Campo Valdés Centro","","1","","51-52 CV-C-1","0","2"
"87","FULLWEEK","87-1","Pinar Torres","","1","","87-1","0","2"
"313","FULLWEEK","313-1","Terminal del Norte-Terminal del Sur","","1","","313-1","0","2"
"255V4","FULLWEEK","255V4-0","Las Playas","","0","","255V4-0","0","2"
"255A","FULLWEEK","255A-1","Nuevo Occidente El Tirol","","1","","255A-1","0","2"
"255A","FULLWEEK","255A-1","Nuevo Occidente-Las Flores","","1","","255A-1","0","2"
"143i","FULLWEEK","143i-1","Aeropuerto Terminal del Sur-Mota-Metro","","1","","143i-1","0","2"
"253D","FULLWEEK","253D-1","Aures derecha","","1","","253D-1","0","2"
"253I","FULLWEEK","253I-1","Aures izquierda","","1","","253I-1","0","2"
"24","FULLWEEK","24-1","Playón de los Comuneros - Oriental","","1","","24-1","0","2"
"95","FULLWEEK","95-1","Villatina  ","","1","","95-1","0","2"
"202","FULLWEEK","202-1","Santa Mónica-Oriental","","1","","202-1","0","2"
"285","FULLWEEK","285-1","Doce de Octubre","","1","","285-1","0","2"
"288","FULLWEEK","288-1","Doce de Octubre","","1","","288-1","0","2"
"255V","FULLWEEK","255V-1","Vereda La Suiza-La Frisola-La Guayabala-La Volcana","","1","","255V-1","0","2"
"255V","FULLWEEK","255V-1","Vereda La Aldea","","1","","255V-1","0","2"
"130","FULLWEEK","130-1","Poblado Parque directa","","1","","130-1","0","2"
"130i","FULLWEEK","130i-1","Industriales - Aguacatala","","1","","130i-1","0","2"
"132","FULLWEEK","132-1","Poblado Éxito directa","","1","","132-1","0","2"
"91","FULLWEEK","91-1","Llanadas","","1","","91-1","0","2"
"041D","FULLWEEK","041D-1","Aranjuez anillo derecha","","1","","041D-1","0","2"
"041I","FULLWEEK","041I-1","Aranjuez anillo izquierda","","1","","041I-1","0","2"
"105","FULLWEEK","105-1","Golondrinas - Minorista","","1","","105-1","0","2"
"105","FULLWEEK","105-0","Golondrinas horario especial","","0","","105-0","0","2"
"105","FULLWEEK","105-0","Golondrinas horario nocturno","","0","","105-0","0","2"
"106","FULLWEEK","106-0","Tres Esquinas - Minorista","","0","","106-0","0","2"
"261A","FULLWEEK","261A-1","Alfonso López - Viejo Terminal","","1","","261A-1","0","2"
"254i","FULLWEEK","254i-1","Pilarica integrada","","1","","254i-1","0","2"
"254iB","FULLWEEK","254iB-1","Pilarica","","1","","254iB-1","0","2"
"132A","FULLWEEK","132A-1","Poblado Éxito alterna","","1","","132A-1","0","2"
"132i","FULLWEEK","132i-1","La Visitación, Oviedo, U. Eafit","","1","","132i-1","0","2"
"132iA","FULLWEEK","132iA-1","La Visitación, Oviedo, U. Eafit alterna","","1","","132iA-1","0","2"
"132ii","FULLWEEK","132ii-1","Aguacatala - Poblado - Av. 34","","1","","132ii-1","0","2"
"42","FULLWEEK","42-1","Aranjuez intermedia","","1","","42-1","0","2"
"031 P-C","FULLWEEK","031 P-C-1","Popular Centro","","1","","031 P-C-1","0","2"
"261","FULLWEEK","261-1","Alfonso López Calle 94","","1","","261-1","0","2"
"261i Der","FULLWEEK","261i Der-1","Derecha Castilla - Estación Universidad","","1","","261i Der-1","0","2"
"261i Izq","FULLWEEK","261i Izq-1","Izquierda Castilla - Estación Universidad","","1","","261i Izq-1","0","2"
"133D","FULLWEEK","133D-1","San Lucas directa","","1","","133D-1","0","2"
"031 P-F","FULLWEEK","031 P-F-1","Popular Ferrocarril","","1","","031 P-F-1","0","2"
"031 P-SD","FULLWEEK","031 P-SD-1","Popular Centro San Diego","","1","","031 P-SD-1","0","2"
"105","FULLWEEK","105-1","Golondrinas horario nocturno","","1","","105-1","0","2"
"191","FULLWEEK","191-1","Laureles Éxito","","1","","191-1","0","2"
"105","FULLWEEK","105-1","Golondrinas horario especial","","1","","105-1","0","2"
"263","FULLWEEK","263-1","12 de Octubre - Calle 90","","1","","263-1","0","2"
"195","FULLWEEK","195-1","Simón Bolívar-Unicentro-Centro","","1","","195-1","0","2"
"263i","FULLWEEK","263i-1","12 de Octubre - Estación Tricentenario","","1","","263i-1","0","2"
"263ii","FULLWEEK","263ii-1","12 de Octubre - Estación Tricentenario","","1","","263ii-1","0","2"
"133i","FULLWEEK","133i-1","San Lucas","","1","","133i-1","0","2"
