"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code","agency_email"
"54488","","CR 46 119-26, Medellin","America/Bogota","-75.54842403511492","6.303167030292913","","","","","America/Bogota","","","",""
"54489","","CL 58 27A-57, Medellin","America/Bogota","-75.548411402354574","6.249521478940292","","","","","America/Bogota","","","",""
"54490","","CR 37 71A-11, Medellin","America/Bogota","-75.548392402306476","6.266946519080757","","","","","America/Bogota","","","",""
"54491","","CL 52 25B-19, Medellin","America/Bogota","-75.548386370099024","6.242187846160438","","","","","America/Bogota","","","",""
"54492","","CL 81 38A-24, Medellin","America/Bogota","-75.548373302821503","6.272668966756162","","","","","America/Bogota","","","",""
"54493","","CL 47 20B-39, Medellin","America/Bogota","-75.548374412599912","6.236495020427079","","","","","America/Bogota","","","",""
"54494","","CL 52 25B-32, Medellin","America/Bogota","-75.548361005606409","6.242273624973065","","","","","America/Bogota","","","",""
"54495","","CL 55A 55A-07, Medellin","America/Bogota","-75.548325607979322","6.244391874959212","","","","","America/Bogota","","","",""
"54496","","CL 75 37-07, Medellin","America/Bogota","-75.548318763746025","6.268657309315768","","","","","America/Bogota","","","",""
"54497","","CR 21 x CL 37, Medellin","America/Bogota","-75.548291085078631","6.229143851822246","","","","","America/Bogota","","","",""
"54498","","CR 28 58-04, Medellin","America/Bogota","-75.548283638013302","6.249592445346477","","","","","America/Bogota","","","",""
"54499","","CR 37 71A-12, Medellin","America/Bogota","-75.548279504389512","6.266972492429827","","","","","America/Bogota","","","",""
"54500","","CL 68A 36-36, Medellin","America/Bogota","-75.54824798018241","6.263450247939652","","","","","America/Bogota","","","",""
"54501","","CR 27 55A-12, Medellin","America/Bogota","-75.548241502438202","6.244451862167261","","","","","America/Bogota","","","",""
"54502","","CR 37 72-70, Medellin","America/Bogota","-75.548212444040104","6.268783668248568","","","","","America/Bogota","","","",""
"54503","","CR 38A 80-19, Medellin","America/Bogota","-75.548200810270444","6.271704866502848","","","","","America/Bogota","","","",""
"54504","","CR 21 36-25, Medellin","America/Bogota","-75.54819579658276","6.228443471764844","","","","","America/Bogota","","","",""
"54505","","CR 36A 66G-47, Medellin","America/Bogota","-75.548191981576124","6.261612735153505","","","","","America/Bogota","","","",""
"54506","","CR 42C 107D-07, Medellin","America/Bogota","-75.548189572583809","6.29622905889853","","","","","America/Bogota","","","",""
"54507","","CR 38A 80-06, Medellin","America/Bogota","-75.548163977495022","6.271759841346075","","","","","America/Bogota","","","",""
"54508","","CL 33 x CR 19, Medellin","America/Bogota","-75.548155706885652","6.226544743735968","","","","","America/Bogota","","","",""
"54509","","CL 71 36-27, Medellin","America/Bogota","-75.548143604759147","6.265649360941091","","","","","America/Bogota","","","",""
"54511","","CR 21 x  36  , Medellin","America/Bogota","-75.548122476825512","6.229206854055911","","","","","America/Bogota","","","",""
"54512","","CR 36A 66G-26, Medellin","America/Bogota","-75.54809743242707","6.261433455090928","","","","","America/Bogota","","","",""
"54513","","CL 95A 38-43, Medellin","America/Bogota","-75.548068925859639","6.286257176726388","","","","","America/Bogota","","","",""
"54514","","CL 33 19-65, Medellin","America/Bogota","-75.548061127822749","6.226508888932131","","","","","America/Bogota","","","",""
"54515","","CR 20 34-, Medellin","America/Bogota","-75.548049540565813","6.227425675508428","","","","","America/Bogota","","","",""
"54516","","CR 37 70-02, Medellin","America/Bogota","-75.548043810972985","6.264800916781134","","","","","America/Bogota","","","",""
"54517","","CL 107B 42B-19, Medellin","America/Bogota","-75.548029315999173","6.295300893945134","","","","","America/Bogota","","","",""
"54519","","CL 49 20B-27, Medellin","America/Bogota","-75.548019218065818","6.238285165317819","","","","","America/Bogota","","","",""
"54520","","CL 52 24-115, Medellin","America/Bogota","-75.548004728881338","6.24201704874029","","","","","America/Bogota","","","",""
"54521","","CL 34 x CR 19, Medellin","America/Bogota","-75.548002331651304","6.227483473348092","","","","","America/Bogota","","","",""
"54522","","CL 57C 27-03, Medellin","America/Bogota","-75.548000457396356","6.248223730726981","","","","","America/Bogota","","","",""
"54523","","CL 105 39A-36, Medellin","America/Bogota","-75.547979403317896","6.29350682169831","","","","","America/Bogota","","","",""
"54524","","CR 36 69-104, Medellin","America/Bogota","-75.547942623708749","6.264757387289584","","","","","America/Bogota","","","",""
"54525","","CL 52 25A-, Medellin","America/Bogota","-75.547924545573025","6.242101088196739","","","","","America/Bogota","","","",""
"54526","","CR 42B x CL 107  , Medellin","America/Bogota","-75.547898000064492","6.294967304485768","","","","","America/Bogota","","","",""
"54527","","CR 27 x CL 57C, Medellin","America/Bogota","-75.547877881908107","6.248401272603075","","","","","America/Bogota","","","",""
"54528","","CR 36 71-21, Medellin","America/Bogota","-75.547848293704106","6.265912729343136","","","","","America/Bogota","","","",""
"54529","","CR 26A 57BB-39, Medellin","America/Bogota","-75.547840318172263","6.247866247268327","","","","","America/Bogota","","","",""
"54530","","CL 55B 26-22, Medellin","America/Bogota","-75.547830980911499","6.244692855362168","","","","","America/Bogota","","","",""
"54531","","CR 26A 57C-20, Medellin","America/Bogota","-75.547825591508897","6.248055356271783","","","","","America/Bogota","","","",""
"54532","","CR 39 86-03, Medellin","America/Bogota","-75.547820745230354","6.278138124131077","","","","","America/Bogota","","","",""
"54533","","CL 49 x  20B, Medellin","America/Bogota","-75.547820463972172","6.238387996094388","","","","","America/Bogota","","","",""
"54534","","CL 79 36C-27, Medellin","America/Bogota","-75.547813699548755","6.271152280636028","","","","","America/Bogota","","","",""
"54535","","CR 42B 107, Medellin","America/Bogota","-75.547799497414431","6.295097167673928","","","","","America/Bogota","","","",""
"54536","","CR 36 70-66, Medellin","America/Bogota","-75.547792755046984","6.265274411521298","","","","","America/Bogota","","","",""
"54537","","CL 125A 43C-24, Medellin","America/Bogota","-75.547785680791179","6.304512255607912","","","","","America/Bogota","","","",""
"54538","","CR 36 71-74, Medellin","America/Bogota","-75.547779067731554","6.266351752271312","","","","","America/Bogota","","","",""
"54539","","CL 79B 36C-20, Medellin","America/Bogota","-75.547763940850871","6.271177407013479","","","","","America/Bogota","","","",""
"54540","","CL 86 85A-73, Medellin","America/Bogota","-75.547760172559236","6.277649978313233","","","","","America/Bogota","","","",""
"54541","","CL 55B 26B-26, Medellin","America/Bogota","-75.547759997824372","6.244605509455223","","","","","America/Bogota","","","",""
