"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"143","Sitva-14","143","La Colinita","Directa","3","","","",""
"317i","Sitva-10","317i","Limonar estación Itagüí","Integrada","3","","","",""
"81","Sitva-15","81","Villa Hermosa - Derecho","Directa Centro","3","","","",""
"082 V-LA","Sitva-15","082 V-LA","Villa Hermosa - Los Ángeles","Directa Centro","3","","","",""
"317 1-2","Sitva-10","317 1-2","San Antonio de Prado El Limonar","Directa Centro","3","","","",""
"317 2-1","Sitva-10","317 2-1","San Antonio de Prado El Limonar","Directa Centro","3","","","",""
"Ruta 11","Sitva-10","Ruta 11","Villa Loma","Directa No Centro","3","","","",""
"Ruta 12","Sitva-10","Ruta 12","El Salado","Directa No Centro","3","","","",""
"Ruta 13","Sitva-10","Ruta 13","Montañita","Directa No Centro","3","","","",""
"160","Sitva-16","160","Trinidad-Parque Berrío","Directa Centro","3","","","",""
"160i","Sitva-16","160i","Terminal del Sur estación Industriales","Integrada","3","","","",""
"161","Sitva-16","161","Trinidad-Parque Berrío-Minorista","Directa Centro","3","","","",""
"246ii","Sitva-8","246ii","Blanquizal integrada","Integrada","3","","","",""
"250AiP","Sitva-17","250AiP","Pajarito integrada","Integrada","3","","","",""
"250Aii","Sitva-17","250Aii","Tulipanes La Huerta integrada","Integrada","3","","","",""
"250R","Sitva-17","250R","Robledales","Directa Centro","3","","","",""
"251","Sitva-17","251","Margaritas","Directa Centro","3","","","",""
"304","Sitva-2","304","Comercial Hotelera derecha","Circular","3","","","",""
"255A","Sitva-3","255A","Las Flores-Moravia-Centro","Directa Centro","3","","","",""
"250iR","Sitva-17","250iR","Robledal integrada","Integrada","3","","","",""
"252","Sitva-17","252","Kennedy","Directa Centro","3","","","",""
"260C","Sitva-17","260C","Córdoba","Directa Centro","3","","","",""
"260BR","Sitva-17","260BR","Brisas","Directa Centro","3","","","",""
"250iVF","Sitva-17","250iVF","Villa Flora integrada","Integrada","3","","","",""
"250AH","Sitva-17","250AH","La Huerta","Directa Centro","3","","","",""
"250M","Sitva-17","250M","Moravia","Integrada","3","","","",""
"250AP","Sitva-17","250AP","Pajarito","Directa Centro","3","","","",""
"255D","Sitva-3","255D","San Cristóbal -Conexión vial","Directa Centro","3","","","",""
"Ruta 2","Sitva-10","Ruta 2","Pradito - Barichara","Directa No Centro","3","","","",""
"Ruta 3","Sitva-10","Ruta 3","Pradito - Vergel","Directa No Centro","3","","","",""
"Ruta 4","Sitva-10","Ruta 4","Vergel - Pradito","Directa No Centro","3","","","",""
"Ruta 5","Sitva-10","Ruta 5","Florida A","Directa No Centro","3","","","",""
"Ruta 6","Sitva-10","Ruta 6","Veredal","Directa No Centro","3","","","",""
"Ruta 7","Sitva-10","Ruta 7","Naranjitos","Directa No Centro","3","","","",""
"Ruta 8VC","Sitva-10","Ruta 8VC","La Verde - Las Camelias","Directa No Centro","3","","","",""
"Ruta 8VR","Sitva-10","Ruta 8VR","La Verde - Los Rieles","Directa No Centro","3","","","",""
"Ruta 9","Sitva-10","Ruta 9","Horizontes","Directa No Centro","3","","","",""
"318ii","Sitva-10","318ii","San Antonio de Prado estación La Estrella","Integrada","3","","","",""
"246D","Sitva-8","246D","Blanquizal Calazanía directa","Directa Centro","3","","","",""
"97","Sitva-11","97","Cauces-Quintalinda","Directa Centro","3","","","",""
"102","Sitva-12","102","Ávila-Iglesia Cataluña","Directa Centro","3","","","",""
"246i","Sitva-8","246i","Blanquizal integrada","Integrada","3","","","",""
"082 V-LAD","Sitva-15","082 V-LAD","Villa Hermosa - Los Ángeles - Directa","Directa Centro","3","","","",""
"270i","Sitva-18","270i","Gratamira-Estación Acevedo","Integrada","3","","","",""
"267","Sitva-17","267","Éxito","Directa Centro","3","","","",""
"309","Sitva-4","309","Ruta de la Salud izquierda","Circular","3","","","",""
"309D","Sitva-4","309D","Ruta de la Salud izquierda directa","Circular","3","","","",""
"260CL","Sitva-17","260CL","Clínica","Directa Centro","3","","","",""
"085 L C","Sitva-19","085 L C","La Cruz","Directa Centro","3","","","",""
"288","Sitva-18","288","Doce de Octubre","Directa Centro","3","","","",""
"261A","Sitva-18","261A","Alfonso López - Viejo Terminal","Directa Centro","3","","","",""
"254i","Sitva-18","254i","Pilarica integrada","Integrada","3","","","",""
"285","Sitva-17","285","Doce de Octubre","Directa Centro","3","","","",""
"250VF","Sitva-17","250VF","Robledo Villa Flora","Directa Centro","3","","","",""
"253D","Sitva-17","253D","Aures derecha","Directa Centro","3","","","",""
"253I","Sitva-17","253I","Aures izquierda","Directa Centro","3","","","",""
"254","Sitva-18","254","Picacho","Directa Centro","3","","","",""
"255","Sitva-3","255","San Cristóbal - Doña María","Directa Centro","3","","","",""
"255iD","Sitva-3","255iD","Metrocable La Aurora","Integrada","3","","","",""
